123.53.245.190,8001,hikvision
60.29.90.22,8002,hikvision
111.23.109.111,8001,dahua
111.165.84.157,8001,hikvision
119.135.193.31,8002,hikvision
14.19.202.146,8008,hikvision
114.242.137.114,80,dvr
111.47.90.248,80,hikvision
43.254.11.20,8008,hikvision
113.134.202.188,8003,hikvision
36.158.104.139,8001,dahua
8.134.101.49,80,dvr
112.194.204.124,8001,hikvision
47.115.216.111,8008,dvr
111.43.105.157,8000,dahua
54.222.180.204,80,dvr
111.207.128.156,8000,hikvision
116.228.126.110,80,hikvision
47.106.237.25,80,dvr
125.69.160.15,8001,hikvision
47.106.165.122,8000,dvr
111.2.69.148,8001,hikvision
123.180.178.48,8005,hikvision
183.196.203.212,8001,dahua
117.157.92.68,8000,hikvision
223.82.1.218,80,hikvision
218.64.115.254,8008,hikvision
220.167.234.150,80,hikvision
124.70.214.161,80,dvr
112.27.11.164,8001,hikvision
117.186.222.2,8002,hikvision
8.138.37.196,8008,dvr
47.98.191.31,80,dvr
60.172.52.72,8002,hikvision
117.72.102.99,80,dvr
123.7.87.89,8001,hikvision
1.26.65.222,8001,dahua
222.243.19.111,8001,hikvision
36.170.114.231,8000,hikvision
183.196.197.199,8001,dahua
103.236.247.5,80,hikvision
220.169.98.79,8001,hikvision
39.104.166.251,80,dvr
14.104.168.223,8006,hikvision
59.58.17.34,8004,hikvision
47.98.166.139,8008,dvr
120.25.242.96,80,dvr
47.96.145.131,8000,dvr
117.173.42.144,8001,hikvision
42.48.118.132,8001,hikvision
39.105.168.188,80,dvr
58.16.178.181,80,dvr
8.153.15.118,8002,dvr
218.29.36.126,8002,hikvision
60.171.154.156,8000,dahua
111.23.40.41,8001,hikvision
120.46.65.140,80,dvr
220.248.115.26,8001,hikvision
110.53.94.128,8002,hikvision
43.139.114.31,80,dvr
47.111.141.113,8000,dvr
183.221.20.39,8001,hikvision
223.83.249.132,8001,hikvision
117.157.92.68,8000,hikvision
81.69.22.252,80,dvr
219.148.171.102,8001,dahua
120.237.66.92,8002,hikvision
8.130.12.29,80,dvr
111.35.164.91,8002,hikvision
1.117.29.118,8001,dvr
223.82.0.237,8008,dahua
183.250.27.192,8001,hikvision
111.10.226.135,8001,hikvision
111.23.25.149,8001,dvr
117.62.200.163,8000,dvr
111.38.102.99,8007,hikvision
116.62.13.110,8000,dvr
115.190.45.229,80,dvr
47.103.202.156,8002,dvr
112.225.159.204,8002,hikvision
123.60.160.121,8000,dvr
61.158.187.162,8001,hikvision
39.104.102.38,8002,dvr
121.40.93.34,80,dvr
139.224.188.236,8000,dvr
218.75.221.246,8001,hikvision
183.196.200.146,8001,dahua
119.3.201.149,80,dvr
101.132.135.168,8006,dvr
124.223.71.247,8000,dvr
119.29.177.20,80,dvr
47.103.219.78,8002,dvr
47.105.168.51,80,dvr
47.112.113.225,8000,dvr
112.86.163.59,8000,dvr
221.131.27.94,8000,dahua
219.138.55.214,8000,dvr
43.142.172.234,80,dvr
106.14.252.175,8002,dvr
47.104.248.124,80,dvr
120.26.210.192,80,dvr
101.132.61.148,80,dvr
36.213.48.12,8000,dvr
221.205.131.109,8000,dahua
117.173.30.149,8003,dahua
47.104.237.215,8005,dvr
47.103.194.52,8002,dvr
47.100.138.7,8002,dvr
81.69.157.142,80,dvr
116.62.64.46,80,dvr
218.4.63.168,80,dvr
81.70.230.42,8001,dvr
106.55.135.217,8001,dvr
111.47.75.40,8001,dahua
123.57.89.245,8000,dvr
47.102.211.239,8002,dvr
223.83.84.202,8008,dahua
111.8.247.217,8001,dahua
117.131.46.114,8000,dvr
171.117.47.71,8000,dahua
124.221.194.110,80,dvr
8.136.115.58,8002,dvr
101.33.252.227,8003,dvr
47.108.212.192,8000,dvr
111.229.107.53,8000,dvr
124.221.45.203,80,dvr
8.146.208.196,80,dvr
120.26.225.212,8000,dvr
81.69.157.142,80,dvr
47.103.83.45,80,dvr
121.196.196.30,8000,dvr
117.88.244.217,8002,dvr
121.199.35.129,8000,dvr
118.31.119.204,8000,dvr
118.89.133.145,8000,dvr
183.191.214.211,8000,dahua
119.3.178.155,8000,dvr
47.92.242.234,8000,dvr
47.102.42.146,8000,dvr
47.102.206.3,8006,dvr
8.152.205.103,8000,dvr
117.50.33.126,80,dvr
47.98.54.113,80,dvr
183.162.99.208,8000,dvr
